Raw_PPG,Processed_PPG
38.31,0.2551158531860872
45.54,0.26819064562821415
51.07,0.27819592456378145
54.44,0.2843011157498377
55.45,0.28614509995031695
54.12,0.2837639890888259
50.5,0.2772480629743809
44.73,0.26685010507222817
37.06,0.2530215144274499
27.77,0.2362678579705383
17.02,0.21687803109034606
4.74,0.19472564205425014
-9.34,0.16932317989356163
-25.52,0.14012896575418177
-43.85,0.1070527198270941
-63.87,0.0709250163552501
-84.63,0.033461171709962434
-104.7,-0.002756811570898021
-122.38,-0.034659419980771655
-135.94,-0.05912297212768902
-143.85,-0.07338490585574625
-145.07,-0.07556740113740107
-139.26,-0.06505655527134169
-126.93,-0.04277322230953573
-109.28,-0.010884117668378324
-88.05,0.02746902129835757
-65.22,0.06871111415362019
-42.81,0.10919485661314461
-22.65,0.14561600766692828
-6.13,0.17546478862431364
6.11,0.19758561792988996
14.2,0.21221322308710006
18.91,0.2207379131547974
20.86,0.22427915776478616
19.82,0.22242166979559055
14.41,0.21267372651835628
2.77,0.19167691903767106
-16.28,0.15730064386074635
-42.17,0.11057409081036988
-72.18,0.056408481497037005
-102.15,0.0023150960309173407
-127.76,-0.04390589008896695
-145.63,-0.07615156177310317
-153.93,-0.09111767801148885
-152.21,-0.08799172052297588
-141.13,-0.06796538278658137
-122.13,-0.03363872330197956
-97.28,0.011250673837548048
-68.89,0.06253188145544114
-38.79,0.11690065854169718
-7.63,0.17318336757910216
25.38,0.23280642955011618
61.88,0.29873102219047915
103.11,0.3731960847637993
148.73,0.4555877145687646
196.42,0.5417169284670116
242.68,0.6252641398273876
284.38,0.7005778326054624
320.03,0.7649676684925455
349.98,0.8190656061517522
375.78,0.8656703196625926
398.83,0.9073096436775276
419.42,0.9445072010888528
436.37,0.9751323884037799
447.46,0.9951767821019776
450.12,1.0000000000000002
442.12,0.9855755626157132
421.99,0.949249243564033
389.19,0.8900460209075817
344.22,0.8088686927365236
288.69,0.7086242689011896
225.23,0.5940614673558445
157.1,0.4710665316483622
87.9,0.3461396080279276
20.96,0.225293331775037
-41.11,0.11324030892034967
-96.6,0.013068108932228567
-144.97,-0.07424824625194854
-187.05,-0.15020740146185502
-224.86,-0.2184566609817557
-260.85,-0.2834197354534573
-296.48,-0.34773279530024026
-331.0,-0.4100416433868579
-361.48,-0.4650558829049454
-384.14,-0.5059503602928586
-396.4,-0.5280666374053479
-398.6,-0.5320186169437254
-394.09,-0.5238550461120938
-387.82,-0.5125136260030829
-383.87,-0.5053611890324357
-383.53,-0.504726954272777
-384.77,-0.5069455614780385
-383.49,-0.5046140663088703
-375.47,-0.4901128528842833
-358.08,-0.4586932032500115
-331.16,-0.4100662220172022
-296.6,-0.3476444859666781
-257.36,-0.276772559792213
-216.44,-0.202867232034795
-176.12,-0.13004526198557442
-137.69,-0.06063586871717608
-101.5,0.004728989107284892
-67.32,0.06646459860928411
-34.73,0.12532931018455984
-3.68,0.1814134036421286
25.8,0.23466271109658052
53.76,0.28516751235693205
80.49,0.33345143031547864
106.34,0.38014642363533546
131.14,0.4249455409658467
153.86,0.46598901824127315
172.97,0.5005142933057112
187.44,0.5266616020934216
197.63,0.5450809592293231
205.72,0.5597085643865332
214.84,0.5761959336094823
227.31,0.5987320500365343
242.93,0.6269557944316233
258.46,0.6550170351704827
268.5,0.6731655528793348
267.59,0.6715427924135821
252.26,0.6438833350274822
222.05,0.5893566064780834
179.26,0.5121154779801431
127.79,0.4192017746369455
71.88,0.31827122425308607
15.78,0.21699761059496417
-36.42,0.12276582204012612
-80.87,0.04252740388283949
-114.82,-0.018752254380990402
-137.72,-0.060080074852182586
-152.09,-0.08600615990516658
-163.04,-0.10575710602142463
-176.34,-0.12975120316145633
-195.57,-0.16445248565084025
-219.82,-0.20821786096547684
-243.38,-0.2507373749156862
-257.66,-0.2765009563124407
-255.09,-0.2718402420706479
-232.66,-0.23132038768751678
-193.67,-0.16089986055813416
-146.85,-0.07634151533677375
-103.33,0.002258362489500343
-72.89,0.05724104227706825
-61.1,0.07854935330149647
-68.26,0.06564161670868607
-90.19,0.02606522453241325
-119.9,-0.027558705926820887
-149.55,-0.08107430061523513
-172.01,-0.12160765876708246
-181.91,-0.1394627288939948
-176.32,-0.1293491141876078
-154.98,-0.09079735964103558
-120.11,-0.02781588877460922
-75.7,0.05239096965215778
-26.47,0.1413008016681116
23.34,0.23125787946865636
70.81,0.31698986220723074
114.91,0.39663698581809576
156.28,0.471354831856662
196.69,0.5443393055621122
238.0,0.6189488158298586
281.12,0.696826455184001
325.27,0.7765638586038824
367.68,0.853159524669991
404.29,0.9192827328901902
430.91,0.9673680352689007
444.69,0.9922694826921837
445.05,0.9929398293754493
433.79,0.9726291484432892
414.43,0.9376931384504623
391.14,0.8956611354689418
367.72,0.8533944049839783
346.96,0.8159305603386908
330.07,0.7854543729112772
316.5,0.7609727648025567
303.87,0.7381884171033455
288.48,0.7104206239464258
266.21,0.670230329068841
233.76,0.6116590650755047
189.66,0.5320526055813333
134.52,0.43251236425632744
70.66,0.31722732423885086
1.18,0.19179483368792408
-71.13,0.06125250594666562
-144.33,-0.07089680239508589
-217.42,-0.20284749515700107
-290.2,-0.33423845310301425
-362.82,-0.46534051566017476
-435.06,-0.5957564516688102
-505.26,-0.7224889714695738
-569.5,-0.8384601380355758
-621.42,-0.9321863596599216
-653.42,-0.9899451053721096
-659.0,-1.0
-635.28,-0.9571509265442442
-584.57,-0.8655688121814029
-513.86,-0.7378747742119778
-432.66,-0.591240032310899
-349.99,-0.4419510640247364
-272.13,-0.3013470133659574
-201.95,-0.17460994137210645
-139.71,-0.062209303050069664
-84.49,0.03751605008605621
-35.22,0.12649810594922317
9.15,0.206632740528777
50.15,0.28068251598062144
90.32,0.35323364660279255
132.99,0.43029876767578684
181.22,0.5174030035114114
236.04,0.6164061181754055
295.06,0.7229927367967824
352.01,0.8258417713248776
397.92,0.9087570240221385
423.88,0.9556506329218318
424.3,0.9564293153759167
399.04,0.9108402879191476
353.34,0.8283448745364493
295.48,0.723893411600948
233.39,0.6118042768226541
172.2,0.5013401786066565
113.95,0.3961845331608268
59.44,0.2977818174294283
10.51,0.20945432838426675
-29.11,0.1379369397779702
-55.16,0.09092149133874106
-65.62,0.07205528735084428
-62.71,0.07732990429394905
-52.54,0.09571314950624392
-42.48,0.11389777913870255
-37.65,0.12263914074803943
-38.81,0.1205649812372043
-42.64,0.11366987992489022
-44.16,0.1109457057891366
-39.62,0.119163444506178
